"data"	"variant"	"q"	"k"	"l"	"Tani"	"filesizea"	"filesizeb"	"realpositives"	"tp"	"fp"	"tn"	"fn"	"recall"	"precision"	"Fmeasure"	"RMSE"
"German Mortality"	"Optimal Parameter choice (RF)"	"1"	"10"	"500"	"0.9"	"14003"	"2466"	"896"	"815"	"28"	"81"	"34530474"	"0.909598214285714"	"0.966785290628707"	"0.938191752457211"	"0.0168036051304342"
"German Mortality"	"Optimal Parameter choice (RF)"	"1"	"10"	"500"	"0.85"	"14003"	"2466"	"896"	"844"	"185"	"52"	"34530317"	"0.941964285714286"	"0.820213799805637"	"0.881089042759961"	"0.0168036051304342"
"German Mortality"	"Optimal Parameter choice (RF)"	"1"	"10"	"500"	"0.8"	"14003"	"2466"	"896"	"864"	"1174"	"32"	"34529328"	"0.964285714285714"	"0.423945044160942"	"0.694115379223328"	"0.0168036051304342"
"German Mortality"	"Optimal Parameter choice (NN)"	"2"	"28"	"500"	"1"	"14003"	"2466"	"896"	"748"	"0"	"148"	"34530502"	"0.834821428571429"	"1"	"0.917410714285714"	"0.110135254047016"
"German Mortality"	"Optimal Parameter choice (NN)"	"2"	"28"	"500"	"0.95"	"14003"	"2466"	"896"	"760"	"0"	"136"	"34530502"	"0.848214285714286"	"1"	"0.924107142857143"	"0.110135254047016"
"German Mortality"	"Optimal Parameter choice (NN)"	"2"	"28"	"500"	"0.9"	"14003"	"2466"	"896"	"792"	"1"	"104"	"34530501"	"0.883928571428571"	"0.998738965952081"	"0.941333768690326"	"0.110135254047016"
"German Mortality"	"Optimal Parameter choice (NN)"	"2"	"28"	"500"	"0.85"	"14003"	"2466"	"896"	"834"	"2"	"62"	"34530500"	"0.930803571428571"	"0.997607655502392"	"0.964205613465482"	"0.110135254047016"
"German Mortality"	"Optimal Parameter choice (NN)"	"2"	"28"	"500"	"0.8"	"14003"	"2466"	"896"	"869"	"30"	"27"	"34530472"	"0.969866071428571"	"0.966629588431591"	"0.968247829930081"	"0.110135254047016"
"NC Voter"	"Standard CLK k = 5"	"2"	"5"	"500"	"1"	"50000"	"50000"	"50000"	"42996"	"261"	"7004"	"2499949739"	"0.85992"	"0.993966294472571"	"0.926943147236285"	NA
"NC Voter"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.95"	"50000"	"50000"	"50000"	"43006"	"261"	"6994"	"2499949739"	"0.86012"	"0.993967689000855"	"0.927043844500428"	NA
"NC Voter"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.9"	"50000"	"50000"	"50000"	"43224"	"454"	"6776"	"2499949546"	"0.86448"	"0.989605751179083"	"0.927042875589542"	NA
"NC Voter"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.85"	"50000"	"50000"	"50000"	"43693"	"3387"	"6307"	"2499946613"	"0.87386"	"0.928058623619371"	"0.900959311809686"	NA
"NC Voter"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.8"	"50000"	"50000"	"50000"	"44450"	"8794"	"5550"	"2499941206"	"0.889"	"0.834835850048832"	"0.861917925024416"	NA
"NC Voter"	"Standard CLK k = 10"	"2"	"10"	"500"	"1"	"50000"	"50000"	"50000"	"42996"	"261"	"7004"	"2499949739"	"0.85992"	"0.993966294472571"	"0.926943147236285"	NA
"NC Voter"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.95"	"50000"	"50000"	"50000"	"43014"	"261"	"6986"	"2499949739"	"0.86028"	"0.993968804159445"	"0.927124402079723"	NA
"NC Voter"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.9"	"50000"	"50000"	"50000"	"43258"	"636"	"6742"	"2499949364"	"0.86516"	"0.985510548138698"	"0.925335274069349"	NA
"NC Voter"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.85"	"50000"	"50000"	"50000"	"43833"	"4745"	"6167"	"2499945255"	"0.87666"	"0.902322038782988"	"0.889491019391494"	NA
"NC Voter"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.8"	"50000"	"50000"	"50000"	"44655"	"9527"	"5345"	"2499940473"	"0.8931"	"0.82416669742719"	"0.858633348713595"	NA
"NC Voter"	"Standard CLK k = 15"	"2"	"15"	"500"	"1"	"50000"	"50000"	"50000"	"42996"	"261"	"7004"	"2499949739"	"0.85992"	"0.993966294472571"	"0.926943147236285"	NA
"NC Voter"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.95"	"50000"	"50000"	"50000"	"43022"	"263"	"6978"	"2499949737"	"0.86044"	"0.993923992145085"	"0.927181996072542"	NA
"NC Voter"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.9"	"50000"	"50000"	"50000"	"43322"	"920"	"6678"	"2499949080"	"0.86644"	"0.979205280050631"	"0.922822640025315"	NA
"NC Voter"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.85"	"50000"	"50000"	"50000"	"44008"	"5906"	"5992"	"2499944094"	"0.88016"	"0.881676483551709"	"0.880918241775855"	NA
"NC Voter"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.8"	"50000"	"50000"	"50000"	"44872"	"10112"	"5128"	"2499939888"	"0.89744"	"0.816091954022989"	"0.856765977011494"	NA
"NC Voter"	"Optimal Parameter choice (LM)"	"2"	"30"	"500"	"1"	"50000"	"50000"	"50000"	"42996"	"261"	"7004"	"2499949739"	"0.85992"	"0.993966294472571"	"0.926943147236285"	"2120.30895956533"
"NC Voter"	"Optimal Parameter choice (LM)"	"2"	"30"	"500"	"0.95"	"50000"	"50000"	"50000"	"43080"	"276"	"6920"	"2499949724"	"0.8616"	"0.993634099086632"	"0.927617049543316"	"2120.30895956533"
"NC Voter"	"Optimal Parameter choice (LM)"	"2"	"30"	"500"	"0.9"	"50000"	"50000"	"50000"	"43605"	"2816"	"6395"	"2499947184"	"0.8721"	"0.939337799702721"	"0.90571889985136"	"2120.30895956533"
"NC Voter"	"Optimal Parameter choice (LM)"	"2"	"30"	"500"	"0.85"	"50000"	"50000"	"50000"	"44646"	"8512"	"5354"	"2499941488"	"0.89292"	"0.839873584408744"	"0.866396792204372"	"2120.30895956533"
"NC Voter"	"Optimal Parameter choice (LM)"	"2"	"30"	"500"	"0.8"	"50000"	"50000"	"50000"	"45666"	"12766"	"4334"	"2499937234"	"0.91332"	"0.781523822562979"	"0.84742191128149"	"2120.30895956533"
"NC Voter"	"Optimal Parameter choice (BIC)"	"1"	"12"	"500"	"1"	"50000"	"50000"	"50000"	"43421"	"411"	"6579"	"2499949589"	"0.86842"	"0.990623288921336"	"0.929521644460668"	"80.3117402438966"
"NC Voter"	"Optimal Parameter choice (BIC)"	"1"	"12"	"500"	"0.95"	"50000"	"50000"	"50000"	"43597"	"516"	"6403"	"2499949484"	"0.87194"	"0.988302767891551"	"0.930121383945776"	"80.3117402438966"
"NC Voter"	"Optimal Parameter choice (BIC)"	"1"	"12"	"500"	"0.9"	"50000"	"50000"	"50000"	"44508"	"2007"	"5492"	"2499947993"	"0.89016"	"0.956852628184457"	"0.923506314092228"	"80.3117402438966"
"NC Voter"	"Optimal Parameter choice (BIC)"	"1"	"12"	"500"	"0.85"	"50000"	"50000"	"50000"	"45690"	"8177"	"4310"	"2499941823"	"0.9138"	"0.84820019678096"	"0.88100009839048"	"80.3117402438966"
"NC Voter"	"Optimal Parameter choice (BIC)"	"1"	"12"	"500"	"0.8"	"50000"	"50000"	"50000"	"46605"	"25366"	"3395"	"2499924634"	"0.9321"	"0.647552486418141"	"0.78982624320907"	"80.3117402438966"
"NC Voter"	"50%-Rule Parameter choice"	"2"	"27"	"500"	"1"	"50000"	"50000"	"50000"	"42996"	"261"	"7004"	"2499949739"	"0.85992"	"0.993966294472571"	"0.926943147236285"	"80.3117402438966"
"NC Voter"	"50%-Rule Parameter choice"	"2"	"27"	"500"	"0.95"	"50000"	"50000"	"50000"	"43060"	"270"	"6940"	"2499949730"	"0.8612"	"0.993768751442419"	"0.927484375721209"	"80.3117402438966"
"NC Voter"	"50%-Rule Parameter choice"	"2"	"27"	"500"	"0.9"	"50000"	"50000"	"50000"	"43534"	"2311"	"6466"	"2499947689"	"0.87068"	"0.949591013196641"	"0.91013550659832"	"80.3117402438966"
"NC Voter"	"50%-Rule Parameter choice"	"2"	"27"	"500"	"0.85"	"50000"	"50000"	"50000"	"44498"	"8071"	"5502"	"2499941929"	"0.88996"	"0.846468450988225"	"0.868214225494113"	"80.3117402438966"
"NC Voter"	"50%-Rule Parameter choice"	"2"	"27"	"500"	"0.8"	"50000"	"50000"	"50000"	"45478"	"11963"	"4522"	"2499938037"	"0.90956"	"0.791734127191379"	"0.85064706359569"	"80.3117402438966"
"NC Voter"	"Optimal Parameter choice (RSM)"	"1"	"1"	"500"	"1"	"50000"	"50000"	"50000"	"43435"	"430"	"6565"	"2499949570"	"0.8687"	"0.990197195942095"	"0.929448597971048"	"0.380037140105002"
"NC Voter"	"Optimal Parameter choice (RSM)"	"1"	"1"	"500"	"0.95"	"50000"	"50000"	"50000"	"43445"	"432"	"6555"	"2499949568"	"0.8689"	"0.990154294960913"	"0.929527147480457"	"0.380037140105002"
"NC Voter"	"Optimal Parameter choice (RSM)"	"1"	"1"	"500"	"0.9"	"50000"	"50000"	"50000"	"44268"	"1553"	"5732"	"2499948447"	"0.88536"	"0.966107243403679"	"0.92573362170184"	"0.380037140105002"
"NC Voter"	"Optimal Parameter choice (RSM)"	"1"	"1"	"500"	"0.85"	"50000"	"50000"	"50000"	"45162"	"4905"	"4838"	"2499945095"	"0.90324"	"0.902031278087363"	"0.902635639043681"	"0.380037140105002"
"NC Voter"	"Optimal Parameter choice (RSM)"	"1"	"1"	"500"	"0.8"	"50000"	"50000"	"50000"	"45976"	"11712"	"4024"	"2499938288"	"0.91952"	"0.796976840937457"	"0.858248420468728"	"0.380037140105002"
"NC Voter"	"Optimal Parameter choice (RF)"	"1"	"26"	"500"	"1"	"50000"	"50000"	"50000"	"43421"	"411"	"6579"	"2499949589"	"0.86842"	"0.990623288921336"	"0.929521644460668"	"0.0392350467476038"
"NC Voter"	"Optimal Parameter choice (RF)"	"1"	"26"	"500"	"0.95"	"50000"	"50000"	"50000"	"43814"	"735"	"6186"	"2499949265"	"0.87628"	"0.983501313160789"	"0.929890656580395"	"0.0392350467476038"
"NC Voter"	"Optimal Parameter choice (RF)"	"1"	"26"	"500"	"0.9"	"50000"	"50000"	"50000"	"45164"	"4586"	"4836"	"2499945414"	"0.90328"	"0.907819095477387"	"0.905549547738693"	"0.0392350467476038"
"NC Voter"	"Optimal Parameter choice (RF)"	"1"	"26"	"500"	"0.85"	"50000"	"50000"	"50000"	"46419"	"19781"	"3581"	"2499930219"	"0.92838"	"0.70119335347432"	"0.81478667673716"	"0.0392350467476038"
"NC Voter"	"Optimal Parameter choice (RF)"	"1"	"26"	"500"	"0.8"	"50000"	"50000"	"50000"	"47460"	"98281"	"2540"	"2499851719"	"0.9492"	"0.325646180553173"	"0.637423090276587"	"0.0392350467476038"
"NC Voter"	"Optimal Parameter choice (NN)"	"2"	"32"	"500"	"1"	"50000"	"50000"	"50000"	"42996"	"261"	"7004"	"2499949739"	"0.85992"	"0.993966294472571"	"0.926943147236285"	"0.0770675479773875"
"NC Voter"	"Optimal Parameter choice (NN)"	"2"	"32"	"500"	"0.95"	"50000"	"50000"	"50000"	"43093"	"292"	"6907"	"2499949708"	"0.86186"	"0.993269563213092"	"0.927564781606546"	"0.0770675479773875"
"NC Voter"	"Optimal Parameter choice (NN)"	"2"	"32"	"500"	"0.9"	"50000"	"50000"	"50000"	"43670"	"3171"	"6330"	"2499946829"	"0.8734"	"0.932302897034649"	"0.902851448517324"	"0.0770675479773875"
"NC Voter"	"Optimal Parameter choice (NN)"	"2"	"32"	"500"	"0.85"	"50000"	"50000"	"50000"	"44726"	"8800"	"5274"	"2499941200"	"0.89452"	"0.835593916974928"	"0.865056958487464"	"0.0770675479773875"
"NC Voter"	"Optimal Parameter choice (NN)"	"2"	"32"	"500"	"0.8"	"50000"	"50000"	"50000"	"45780"	"13647"	"4220"	"2499936353"	"0.9156"	"0.770356908475945"	"0.842978454237973"	"0.0770675479773875"
"German Telephone CD 20% errors"	"Standard CLK k = 5"	"2"	"5"	"500"	"1"	"10000"	"10000"	"10000"	"8056"	"0"	"1944"	"99990000"	"0.8056"	"1"	"0.9028"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.95"	"10000"	"10000"	"10000"	"8081"	"0"	"1919"	"99990000"	"0.8081"	"1"	"0.90405"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.9"	"10000"	"10000"	"10000"	"8143"	"0"	"1857"	"99990000"	"0.8143"	"1"	"0.90715"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.85"	"10000"	"10000"	"10000"	"8280"	"1"	"1720"	"99989999"	"0.828"	"0.999879241637483"	"0.913939620818742"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.8"	"10000"	"10000"	"10000"	"8522"	"1"	"1478"	"99989999"	"0.8522"	"0.999882670421213"	"0.926041335210606"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 10"	"2"	"10"	"500"	"1"	"10000"	"10000"	"10000"	"8056"	"0"	"1944"	"99990000"	"0.8056"	"1"	"0.9028"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.95"	"10000"	"10000"	"10000"	"8093"	"0"	"1907"	"99990000"	"0.8093"	"1"	"0.90465"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.9"	"10000"	"10000"	"10000"	"8169"	"0"	"1831"	"99990000"	"0.8169"	"1"	"0.90845"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.85"	"10000"	"10000"	"10000"	"8358"	"1"	"1642"	"99989999"	"0.8358"	"0.999880368465127"	"0.917840184232564"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.8"	"10000"	"10000"	"10000"	"8610"	"3"	"1390"	"99989997"	"0.861"	"0.999651689306862"	"0.930325844653431"	NA
"German Telephone CD 20% errors"	"Standard CLK k = 15"	"2"	"15"	"500"	"1"	"10000"	"10000"	"10000"	"8056"	"0"	"1944"	"99990000"	"0.8056"	"1"	"0.9028"	NA
